trader_group,country_of_destination,cocoa_deforestation_15_years_total_exposure,cocoa_net_emissions_15_years_total
CARGILL,INDONESIA,1.581986867,64.21846258
BARRY CALLEBAUT,CHILE,0.04144008,1.349993441
OLAM,MALAYSIA,0.741225655,39.89301281
OLAM,YEMEN,0.313353095,61.66742284
OLAM,EGYPT,0.431117886,12.97273965
BARRY CALLEBAUT,MALAYSIA,0.115333551,6.151172536
BARRY CALLEBAUT,ITALY,0.375512804,16.98867141
BARRY CALLEBAUT,ITALY,0.704319405,25.13694704
OLAM,MALAYSIA,0.473033375,70.84624119
CARGILL,GERMANY,0.114737186,6.119366142
BARRY CALLEBAUT,TAIWAN,0.049402397,2.619166896
OLAM,NETHERLANDS,1.128676016,37.09854856
OLAM,SYRIA,1.070059292,187.2004267
OLAM,NETHERLANDS,1.895221339,98.82572002
OLAM,CHILE,0.198732411,5.874874646
OLAM,PORTUGAL,2.068575684,125.6340395
OLAM,SAUDI ARABIA,1.592043116,85.68429324
BARRY CALLEBAUT,GERMANY,0.086861815,4.529381982
BARRY CALLEBAUT,GERMANY,0.02978882,1.209233959
SUCDEN,UNKNOWN COUNTRY,0.713436042,29.33189819
OLAM,GREECE,0.268657542,30.73949894
BARRY CALLEBAUT,UNITED ARAB EMIRATES,0.504214733,26.73195277
OLAM,PORTUGAL,6.912236063,1873.638744
BARRY CALLEBAUT,FRANCE,1.426942014,27.45100304
OLAM,YEMEN,0.044811841,2.027344047
BARRY CALLEBAUT,CROATIA,0.929664144,42.05917481
ETC GROUP,CANADA,1.440830056,43.3559214
ETC GROUP,CANADA,2.218782822,90.04601383
CARGILL,BRAZIL,0.628191422,26.88935652
BARRY CALLEBAUT,GERMANY,1.021598657,53.27094033
BARRY CALLEBAUT,FRANCE,0.312113705,14.71848427
BARRY CALLEBAUT,GHANA,0.201528318,7.192484847
BARRY CALLEBAUT,BELGIUM,0.384567043,55.08711981
OLAM,UNITED STATES,1.746686886,91.08043772
OLAM,NETHERLANDS,2.621416979,151.1892681
CARGILL,GERMANY,0.210209495,4.806307803
CARGILL,NETHERLANDS,0.503321621,22.77090298
BARRY CALLEBAUT,MALAYSIA,0.862931942,39.04012605
OLAM,COTE D'IVOIRE,0.126265334,3.732622188
OLAM,MALAYSIA,0.278547021,8.381739895
TOUTON,GERMANY,0.09588085,4.422069461
OLAM,GREECE,0.034428685,1.557596988
BARRY CALLEBAUT,SOUTH AFRICA,0.131967406,7.611172001
OLAM,GREECE,0.01053041,0.448435088
OLAM,UNITED ARAB EMIRATES,1.199413125,64.55281576
CEMOI,FRANCE,0.00887651,0.473417703
OLAM,NETHERLANDS,1.526963437,54.4968643
BARRY CALLEBAUT,CHILE,0.68947115,43.96142811
BARRY CALLEBAUT,CANADA,0.236604465,21.4884012
BARRY CALLEBAUT,GERMANY,2.099950904,72.31612741
OLAM,BELGIUM,0.100427798,7.534234633
BARRY CALLEBAUT,MALAYSIA,1.762384765,33.9041314
